Church,Update link (send this to the church)
Arise Anglican Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Arise+Anglican+Church
Artarmon Anglican (St Basil's),https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Artarmon+Anglican+%28St+Basil%27s%29
Auburn & Newington Anglican Churches,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Auburn+%26+Newington+Anglican+Churches
Blacktown Anglican Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Blacktown+Anglican+Church
Brighton-Rockdale Anglican Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Brighton-Rockdale+Anglican+Church
Cabramatta Anglican Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Cabramatta+Anglican+Church
FOCUS UNSW,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=FOCUS+UNSW
"Grove Church, Hurstville Grove",https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Grove+Church%2C+Hurstville+Grove
Hornsby Anglican Chinese Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Hornsby+Anglican+Chinese+Church
Lidcombe Anglican Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Lidcombe+Anglican+Church
Lugarno Anglican Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Lugarno+Anglican+Church
Minto Anglican Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Minto+Anglican+Church
Norwest Anglican Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Norwest+Anglican+Church
Penshurst Anglican Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Penshurst+Anglican+Church
Philadelphia Anglican Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Philadelphia+Anglican+Church
Rouse Hill Anglican Church,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=Rouse+Hill+Anglican+Church
St Alban's Anglican Church Epping,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Alban%27s+Anglican+Church+Epping
St Andrew's Cathedral,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Andrew%27s+Cathedral
St Anne's Anglican Ryde,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Anne%27s+Anglican+Ryde
St Barnabas Anglican Church Roseville East,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Barnabas+Anglican+Church+Roseville+East
St Barnabas Broadway (Barneys),https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Barnabas+Broadway+%28Barneys%29
St George's Hurstville,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+George%27s+Hurstville
St John Mark Anglican Church Chester Hill,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+John+Mark+Anglican+Church+Chester+Hill
St John's Anglican Cathedral Parramatta,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+John%27s+Anglican+Cathedral+Parramatta
St John's Anglican Church Campsie,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+John%27s+Anglican+Church+Campsie
St John's Anglican Church North Ryde,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+John%27s+Anglican+Church+North+Ryde
St Mark's Anglican Church Granville,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Mark%27s+Anglican+Church+Granville
St Matthew's Anglican Church West Pennant Hills,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Matthew%27s+Anglican+Church+West+Pennant+Hills
St Matthias Centennial Park,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Matthias+Centennial+Park
St Paul's Anglican Church Bankstown,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Paul%27s+Anglican+Church+Bankstown
St Paul's Anglican Church Carlingford,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Paul%27s+Anglican+Church+Carlingford
St Paul's Anglican Church Kogarah,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Paul%27s+Anglican+Church+Kogarah
St Paul's Chatswood,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Paul%27s+Chatswood
St Philip's Anglican Church Eastwood,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Philip%27s+Anglican+Church+Eastwood
St Thomas' Anglican Church Auburn,https://github.com/sydacm/sydacm-churches/issues/new?template=update-listing.yml&church=St+Thomas%27+Anglican+Church+Auburn
