name,name_zh,site,address,suburb,region,lat,lng,category,languages,sunflower,services,translation,phone,email,website
Arise Anglican Church,,,"88 Cecil Avenue, Castle Hill NSW 2154",Castle Hill,North-West,-33.7332,151.0052,translation,Chinese,yes,Sun 10:30am kids and youth programmes; Sun 12:00pm main gathering — Chinese by Sunflower,"confirmed by Chu Hao, who makes Sunflower, 21 Sep. Which service carries it isn't stated.",,ariseanglican@gmail.com,ariseanglican.au
Artarmon Anglican (St Basil's),聖公會聖巴素堂,,"6 Broughton Rd, Artarmon NSW 2064",Artarmon,North,-33.809,151.1842,congregation,Mandarin; Cantonese,,Sun 9:30am English; Sun 10:30am Mandarin/Cantonese; Sun 5:00pm evening church,,(02) 9412 1315,,artarmonchurch.org
Auburn & Newington Anglican Churches,,St Philip's Auburn,"48 Hall Street, Auburn NSW 2144",Auburn,West,-33.8478,151.0336,unknown,,,Sun 10:00am English with ESL help,,,office@auburnanglican.org,auburnanglican.org
Auburn & Newington Anglican Churches,,Newington Wentworth Point,"Wentworth Point High School, 7 Burroway Rd, Wentworth Point NSW 2127",Wentworth Point,West,-33.828,151.074,unknown,,,Sun 10:00am English with ESL help,,,office@auburnanglican.org,auburnanglican.org
Blacktown Anglican Church,,,"Cnr Richmond Rd & Orallo Ave (27 Richmond Road), Blacktown NSW 2148",Blacktown,West,-33.7648,150.902,translation,Mandarin,yes,Sun 8:00am English; Sun 10:00am English WITH MANDARIN TRANSLATION; Sun 1:00pm Sudanese (Arabic and English); Sun 6:00pm English; Wed 10:00am English (monthly),Mandarin translation at the 10:00am service,,,bac.org.au
Brighton-Rockdale Anglican Church,悉尼基督聖道華人教會,Rockdale,"431 Princes Highway, Rockdale NSW 2216",Rockdale,South,-33.9532,151.1381,congregation,Mandarin,,Sun 10:30am–12:30pm Mandarin,,,,stcacm.org
Brighton-Rockdale Anglican Church,悉尼基督聖道華人教會,West Pennant Hills,"41–43 Eaton Rd, West Pennant Hills NSW 2125",West Pennant Hills,South,-33.7481,151.0421,congregation,Mandarin,,Sun 10:30am–12:30pm Mandarin,,,,stcacm.org
Brighton-Rockdale Anglican Church,悉尼基督聖道華人教會,Brighton-Le-Sands,"1 Trafalgar Street, Brighton-Le-Sands NSW 2216",Brighton-Le-Sands,South,-33.9601,151.1521,congregation,Mandarin,,Sun 10:30am–12:30pm Mandarin,,,,stcacm.org
Cabramatta Anglican Church,卡拉馬打／卡市聖公會,,"42 Cumberland St, Cabramatta NSW 2166",Cabramatta,South-West,-33.8958,150.9372,congregation,Mandarin; Cantonese,,Sun 9:00am English; Sun 9:00am Mandarin; Sun 11:00am Cantonese; Sun 11:00am Vietnamese; Fri 7:00pm youth (school terms),,,,cabra.church
FOCUS UNSW,大學基督教會,,"Keith Burrows Theatre J14, UNSW Kensington NSW 2052",UNSW Kensington,East,-33.9173,151.2313,groups,Mandarin; Cantonese,,Sun 10:00am FOCUS Church English (Keith Burrows Theatre J14); Fri 7:00pm Mandarin Bible study (Library 191); Fri 7:00pm Cantonese Bible study (Blockhouse G15); Wed & Thu 11:00am International Bible study,,,,campusbiblestudy.org/focus
